data,create_time
"{""TMP"":[1060],""HR"":[6170],""PRS"":[102000],""FX"":[6],""DO"":[2505],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:05:01.186802+08
"{""TMP"":[1070],""HR"":[6230],""PRS"":[102000],""FX"":[6],""DO"":[2108],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:03:56.867066+08
"{""TMP"":[1070],""HR"":[5890],""PRS"":[101900],""FX"":[5],""DO"":[1956],""wTMP"":[1320],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:02:52.653998+08
"{""TMP"":[1120],""HR"":[5920],""PRS"":[101900],""FX"":[6],""DO"":[1716],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:01:48.219359+08
"{""TMP"":[1170],""HR"":[5770],""PRS"":[101900],""FX"":[6],""DO"":[2306],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:00:43.897954+08
"{""TMP"":[1270],""HR"":[5640],""PRS"":[101900],""FX"":[6],""DO"":[1748],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:59:39.576458+08
"{""TMP"":[1210],""HR"":[5680],""PRS"":[102000],""FX"":[6],""DO"":[1505],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:58:35.214815+08
"{""TMP"":[1250],""HR"":[5850],""PRS"":[101900],""FX"":[6],""DO"":[1483],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:57:30.787367+08
"{""TMP"":[1070],""HR"":[6140],""PRS"":[101900],""FX"":[6],""DO"":[2334],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:56:26.547254+08
"{""TMP"":[1040],""HR"":[6030],""PRS"":[102000],""FX"":[6],""DO"":[1758],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:55:22.243241+08
"{""TMP"":[1050],""HR"":[5970],""PRS"":[101900],""FX"":[5],""DO"":[1967],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:54:17.89386+08
"{""TMP"":[1100],""HR"":[6090],""PRS"":[101900],""FX"":[6],""DO"":[1703],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:53:13.35952+08
"{""TMP"":[1080],""HR"":[6060],""PRS"":[102000],""FX"":[6],""DO"":[0],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:52:08.986739+08
"{""TMP"":[1070],""HR"":[6200],""PRS"":[101900],""FX"":[5],""DO"":[2182],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:51:04.487051+08
"{""TMP"":[1050],""HR"":[6050],""PRS"":[102000],""FX"":[6],""DO"":[1993],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:50:00.153283+08
"{""TMP"":[1070],""HR"":[6060],""PRS"":[101900],""FX"":[6],""DO"":[2011],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:48:55.822944+08
"{""TMP"":[1090],""HR"":[6070],""PRS"":[102000],""FX"":[6],""DO"":[1656],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:47:51.499589+08
"{""TMP"":[1140],""HR"":[5900],""PRS"":[101900],""FX"":[6],""DO"":[1607],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:46:47.205531+08
"{""TMP"":[1210],""HR"":[5790],""PRS"":[101900],""FX"":[6],""DO"":[1701],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:45:35.834056+08
"{""TMP"":[1240],""HR"":[6020],""PRS"":[101900],""FX"":[6],""DO"":[1557],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:44:31.502497+08
"{""TMP"":[1160],""HR"":[6180],""PRS"":[101900],""FX"":[6],""DO"":[870],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:43:27.102781+08
"{""TMP"":[1060],""HR"":[6340],""PRS"":[102000],""FX"":[6],""DO"":[1726],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:42:22.585959+08
"{""TMP"":[1060],""HR"":[6270],""PRS"":[101900],""FX"":[6],""DO"":[1143],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:41:18.283469+08
